qid;map_id;label_on_map;has_polygon
Q59133204;MAP_1930;Rotterdam;true
Q59133204;MAP_1860-79;Rotterdam;false
Q124825044;MAP_1930;Charlottenburg;true
Q124825044;MAP_1860-79;Charlottenburg;false
Q59115608;MAP_1930;De Gekroonde Paauw;true
Q59115608;MAP_1860-79;De Gekroonde Paauw;false
Q59119459;MAP_1930;Molhoop;true
Q59119459;MAP_1860-79;Molhoop;false
Q59115477;MAP_1930;De Oude Bijenkorf;true
Q59115477;MAP_1860-79;De Oude Bijenkorft;false
Q59115418;MAP_1930;Crommelin's gift;true
Q59115418;MAP_1860-79;Crommelin's gift;false
Q59115649;MAP_1930;Groningen;true
Q59115649;MAP_1860-79;Groningen;false
Q59117050;MAP_1930;Maria's lust;true
Q59117050;MAP_1860-79;Maria's lust;false
Q59133127;MAP_1930;Rees en Crop;true
Q59133127;MAP_1860-79;Rees en Crop;false
Q59134003;MAP_1930;Vlijt en Trouw;true
Q59134003;MAP_1860-79;Vlijt en Trouw;false
Q59115693;MAP_1930;Hofwijk;true
Q59115693;MAP_1860-79;Hofwijk;false
Q59115575;MAP_1930;Fackertshoop;true
Q59115575;MAP_1860-79;Fackertshoop;false
Q59115308;MAP_1930;Breda;true
Q59115308;MAP_1860-79;Breda;false
Q59115717;MAP_1930;Isaaks hoop;true
Q59115717;MAP_1860-79;Isaaks hoop;false
Q59115717;MAP_1930;Isaaks hoop;true
Q59115717;MAP_1860-79;Isaaks hoop;false
Q135395783;MAP_1930;Voorburg;true
Q135395783;MAP_1860-79;Voorburg;false
Q59133881;MAP_1930;Staf Aarons;true
Q59133881;MAP_1860-79;Staf Aarons;false
Q59133881;MAP_1930;Staf Aarons;true
Q59133881;MAP_1860-79;Staf Aarons;false
Q135395236;MAP_1930;Gerar;true
Q135395236;MAP_1860-79;Gerar;false
Q135395236;MAP_1930;Gerar;true
Q135395236;MAP_1860-79;Gerar;false
Q124831293;MAP_1930;Libanon;true
